index,language,source,question,option_A,option_B,option_C,option_D,option_E,correct_option,question_EN,option_A_EN,option_B_EN,option_C_EN,option_D_EN,option_E_EN,,,,,,,,,,,,,,
1,JP-JP,national_official_exam_official_source,睡眠時無呼吸症候群による高血圧について、正しくないのはどれか。,夜間高血圧となることが多い。,肥満患者では減量を推奨する。,α 遮断薬が第一選択薬である。,家庭血圧では早朝に高血圧となることが多い。,持続的気道陽圧法（CPAP）で降圧が期待される。,3,Which of the following is not true regarding hypertension caused by sleep apnea?,Nocturnal hypertension is common.,Weight loss is encouraged in obese patients.,Alpha-blockers are the first-line treatment.,Home blood pressure often becomes high in the early morning.,Continuous positive airway pressure (CPAP) is expected to lower blood pressure.,,,,,,,,,,,,,,
2,JP-JP,national_official_exam_official_source,妊娠末期の腟分泌物細菌培養検査でB 群連鎖球菌（GBS）が陽性となった妊婦に対する母子感染予防対策として、ペニシリン系抗菌薬の投与を開始する適切な時期はどれか。,陽性判明の時点,妊娠37 週時,陣痛開始時,子宮口全開大時,児頭排臨時,3,When is the appropriate time to start administering penicillin antibiotics to a pregnant woman whose vaginal secretion bacterial culture test during the final stages of pregnancy is positive for group B streptococcus (GBS) as a measure to prevent mother-to-child transmission?,When positive test result was detected,At 37 weeks pregnant,When labor begins,When the cervix is ​​fully dilated,emergence of the fetal head,,,,,,,,,,,,,,
3,JP-JP,national_official_exam_official_source,中心性漿液性脈絡網膜症について誤っているのはどれか。,夜盲を自覚する。,変視症を自覚する。,自然治癒することが多い。,蛍光眼底造影が有用である。,光干渉断層計（OCT）が有用である。,1,Which of the following is incorrect regarding central serous chorioretinopathy?,Experience of night blindness.,Experience of metamorphopsia.,It often heals naturally.,Fluorescein angiography is useful.,Optical coherence tomography (OCT) can be useful.,,,,,,,,,,,,,,
4,JP-JP,national_official_exam_official_source,単剤の内服で低血糖の原因になる可能性が高いのはどれか。,DPP-4 阻害薬,SGLT2 阻害薬,ビグアナイド薬,スルホニル尿素薬,α グルコシダーゼ阻害薬,4,Which drug taken alone is most likely to cause hypoglycemia?,DPP-4 inhibitors,SGLT2 inhibitors,Biguanides,Sulfonylurea drugs,Alpha-glucosidase inhibitors,,,,,,,,,,,,,,
5,JP-JP,national_official_exam_official_source,我が国での成人心臓移植について正しいのはどれか。,10 年生存率は約10 % である。,"年間約1,000 例行われている。",原疾患は拡張型心筋症が最も多い。,原則として術後に免疫抑制薬は用いられない。,2015 年以降の平均待機期間は年以下である。,3,Which of the following is correct regarding adult heart transplants in Japan?,The 10-year survival rate is approximately 10%.,"Approximately 1,000 cases are performed each year.",The most common underlying disease is dilated cardiomyopathy.,"As a general rule, immunosuppressants are not used after surgery.","Since 2015, the average waiting period has been less than a year.",,,,,,,,,,,,,,
6,JP-JP,national_official_exam_official_source,高カリウム血症の原因となるのはどれか。,β 刺激薬,インスリン,ループ利尿薬,グリチルリチン,レニン・アンジオテンシン系抑制薬,5,Which of the following causes hyperkalemia?,Beta-agonists,Insulin,Loop diuretics,Glycyrrhizin,Renin-angiotensin system inhibitors,,,,,,,,,,,,,,
7,JP-JP,national_official_exam_official_source,逆流性食道炎の誘因とならないのはどれか。,肥満,高齢,亀背,萎縮性胃炎,カルシウム拮抗薬,4,Which of the following is not a cause of gastroesophageal reflux disease?,obesity,Older age,kyphosis,atrophic gastritis,Calcium channel blockers,,,,,,,,,,,,,,
8,JP-JP,national_official_exam_official_source,心不全で来院した患者において心サルコイドーシスの所見に合致しないのはどれか。,房室ブロック,持続性心室頻拍,左室駆出率の低下,心室中隔の非対称性肥大,FDG-PET での心筋への異常集積,4,Which of the following is not consistent with cardiac sarcoidosis in a patient admitted with heart failure?,Atrioventricular block,Sustained ventricular tachycardia,Reduced left ventricular ejection fraction,Asymmetric hypertrophy of the interventricular septum,Abnormal myocardial accumulation on FDG-PET,,,,,,,,,,,,,,
9,JP-JP,national_official_exam_official_source,骨壊死のリスクファクターでないのはどれか。,飲酒,減圧症,放射線照射,有機リン剤,副腎皮質ステロイド,4,Which of the following is not a risk factor for osteonecrosis?,drinking,Decompression sickness,Radiation,Organophosphates,Corticosteroids,,,,,,,,,,,,,,
10,JP-JP,national_official_exam_official_source,全身性強皮症による続発性Raynaud 現象の特徴はどれか。,片側性である。,家族歴がある。,若年発症が多い。,手指腫脹を伴う。,血圧の左右差を伴う。,4,What is a characteristic of secondary Raynaud phenomenon due to systemic sclerosis?,It is unilateral.,Have a family history of the condition.,Onset is common among young people.,Accompanied by swelling of the fingers.,There is a difference in blood pressure between the left and right sides.,,,,,,,,,,,,,,
